Mid-year population estimates: Scotland by single year of age and sex: 1981 to 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persons (continued),,,
Persons,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
2000,"5,062,940","53,411","55,832","57,006","58,857","58,107","59,175","61,130","62,657","65,149","65,231","63,532","63,424","65,617","64,971","65,340","65,324","61,839","61,398","62,128","67,207","67,675","64,906","59,752","57,216","60,056","60,310","60,998","65,453","69,568","73,643","73,362","76,396","78,278","79,878","78,819","81,691","81,413","81,116","80,009","78,829","76,948","76,061","74,578","72,653","71,064","68,316","67,913","66,560","64,443","66,124","66,981","69,101","71,611","77,828","60,342","58,028","59,782","58,523","54,680","51,980","53,885","53,530","53,105","51,593","51,123","49,936","48,184","46,829","47,456","46,233","44,859","43,208","40,360","39,224","38,923","36,271","34,850","32,028","32,121","30,907","30,343","19,755","17,184","16,777","16,376","15,652","13,976","11,761","9,758","8,218","28,296",
2001,"5,064,200","52,027","53,060","55,668","56,812","58,694","58,088","59,103","61,005","62,593","65,024","65,249","63,693","63,393","65,581","65,007","65,377","65,393","61,838","61,130","63,867","68,326","68,041","64,539","58,527","55,962","59,440","59,787","60,929","65,267","69,462","73,489","73,267","76,391","78,126","79,964","78,823","81,648","81,478","81,265","80,018","78,712","76,729","76,084","74,604","72,759","70,936","68,313","67,903","66,569","64,487","65,995","66,838","68,922","71,437","77,691","60,177","57,831","59,574","58,163","54,393","51,576","53,469","53,039","52,488","50,979","50,436","49,238","47,416","45,962","46,412","45,084","43,650","41,872","38,904","37,668","37,362","34,663","33,201","30,258","30,132","28,915","28,189","18,306","15,594","15,125","14,596","13,920","12,341","10,189","8,363","29,385",
2002,"5,066,000","51,198","52,277","53,357","55,907","57,045","58,892","58,286","59,287","61,183","62,693","65,247","65,498","63,581","63,263","65,405","64,666","65,071","64,740","61,286","62,831","65,212","68,791","67,952","63,472","57,749","55,837","59,376","59,910","61,022","65,243","69,548","73,481","73,315","76,383","77,908","79,747","78,809","81,599","81,387","81,160","80,118","78,792","76,673","76,092","74,511","72,737","70,886","68,270","67,799","66,504","64,413","65,950","66,673","68,765","71,213","77,467","59,888","57,538","59,280","57,775","53,965","51,087","52,894","52,409","51,823","50,302","49,598","48,288","46,508","44,905","45,276","43,878","42,319","40,404","37,334","36,074","35,667","32,858","31,354","28,433","28,097","26,915","26,037","16,739","14,158","13,539","12,960","12,196","10,690","8,665","29,670",
2003,"5,068,500","51,783","51,241","52,437","53,601","56,062","57,176","59,081","58,582","59,513","61,400","62,774","65,351","65,312","63,497","63,099","65,196","64,255","64,537","64,080","62,854","64,074","66,238","68,847","66,724","62,607","57,291","55,531","59,388","59,848","61,120","65,423","69,707","73,530","73,436","76,487","78,037","79,887","78,997","81,858","81,563","81,345","80,169","78,682","76,618","76,057","74,430","72,623","70,851","68,121","67,607","66,391","64,289","65,764","66,472","68,630","71,005","77,199","59,650","57,163","58,973","57,375","53,507","50,578","52,252","51,794","51,112","49,524","48,738","47,403","45,442","43,875","44,123","42,542","40,857","38,818","35,753","34,426","33,860","31,103","29,437","26,495","26,005","24,817","23,765","15,129","12,629","11,949","11,307","10,509","9,056","29,857",
2004,"5,084,300","53,628","51,954","51,422","52,768","53,953","56,304","57,571","59,412","58,953","59,772","61,654","62,943","65,486","65,416","63,396","63,113","65,049","63,845","64,223","66,320","64,269","65,232","66,458","68,040","66,117","62,311","57,248","55,780","59,475","60,232","61,426","65,673","70,214","73,912","73,671","76,790","78,394","80,140","79,338","82,156","81,820","81,579","80,313","78,788","76,612","76,082","74,331","72,683","70,875","68,111","67,612","66,441","64,226","65,699","66,406","68,521","70,916","77,064","59,382","56,917","58,609","57,080","53,131","50,083","51,701","51,195","50,384","48,796","47,824","46,469","44,402","42,699","42,828","41,198","39,365","37,316","34,154","32,807","31,982","29,236","27,590","24,566","23,957","22,751","21,552","13,619","11,205","10,422","9,763","9,015","30,165",
2005,"5,110,200","54,502","53,950","52,171","51,685","53,186","54,316","56,657","57,974","59,774","59,355","60,151","62,037","63,046","65,211","65,011","63,015","63,127","65,061","64,151","67,434","68,416","66,144","66,358","66,744","68,005","66,310","62,499","57,851","56,195","59,943","60,787","61,895","66,221","70,715","74,446","73,936","77,110","78,839","80,363","79,787","82,514","82,161","81,863","80,466","79,042","76,669","76,139","74,383","72,718","70,955","68,076","67,593","66,389","64,201","65,600","66,259","68,393","70,761","76,755","59,114","56,596","58,165","56,563","52,614","49,515","51,053","50,452","49,561","47,899","46,875","45,503","43,260","41,526","41,562","39,712","37,821","35,731","32,487","31,106","30,153","27,352","25,675","22,657","21,908","20,664","19,477","12,172","9,850","8,956","8,296","30,610",
2006,"5,133,000","55,117","54,639","53,923","52,318","51,890","53,384","54,645","56,935","58,184","60,028","59,642","60,313","62,281","62,989","65,171","64,773","63,142","63,490","65,860","67,781","69,375","69,690","65,954","66,347","67,061","68,088","66,241","62,901","58,225","56,698","60,374","61,234","62,388","66,575","71,182","74,809","74,350","77,464","79,209","80,658","79,983","82,775","82,269","82,104","80,544","78,990","76,580","76,141","74,319","72,683","70,796","67,999","67,418","66,287","64,083","65,425","65,980","68,121","70,424","76,428","58,782","56,183","57,647","55,975","51,961","48,844","50,246","49,626","48,662","46,951","45,833","44,399","42,032","40,315","40,195","38,209","36,231","34,008","30,778","29,391","28,315","25,442","23,748","20,769","19,906","18,727","17,539","10,735","8,523","7,703","30,648",
2007,"5,170,000","57,040","55,449","55,052","54,210","52,556","52,188","53,812","55,109","57,352","58,571","60,453","60,097","60,673","62,449","63,235","65,401","64,928","64,498","64,802","69,642","69,835","68,986","69,147","66,648","66,963","68,065","68,558","67,098","63,715","59,098","57,692","61,270","62,053","63,181","67,387","71,889","75,463","74,742","77,969","79,717","81,013","80,258","83,089","82,527","82,243","80,760","79,043","76,632","76,258","74,354","72,727","70,849","67,966","67,344","66,152","63,984","65,305","65,748","67,870","70,115","76,149","58,451","55,669","57,048","55,424","51,392","48,146","49,485","48,779","47,792","46,001","44,769","43,222","40,840","39,038","38,763","36,718","34,583","32,398","29,143","27,614","26,341","23,587","21,746","18,963","17,896","16,765","15,533","9,296","7,370","29,849",
2008,"5,202,900","59,546","57,261","55,643","55,249","54,377","52,680","52,406","54,117","55,376","57,639","58,836","60,809","60,380","61,050","62,713","63,559","65,426","65,211","65,773","69,158","71,903","69,132","69,716","69,275","66,659","67,667","68,493","68,765","67,244","64,311","59,855","58,385","61,911","62,536","63,840","67,988","72,483","75,842","75,212","78,349","80,045","81,116","80,590","83,319","82,708","82,431","80,786","79,082","76,661","76,249","74,349","72,633","70,695","67,857","67,192","65,974","63,806","65,038","65,350","67,512","69,721","75,722","57,979","55,174","56,375","54,789","50,680","47,382","48,688","47,864","46,780","44,946","43,627","42,010","39,534","37,643","37,234","35,205","32,814","30,652","27,511","25,814","24,440","21,635","19,816","17,090","16,000","14,905","13,572","7,994","29,136",
2009,"5,231,900","59,653","59,540","57,219","55,713","55,381","54,394","52,713","52,490","54,320","55,667","57,896","59,146","61,043","60,753","61,301","62,998","64,082","68,428","69,004","67,809","68,475","70,911","70,035","70,040","69,240","66,895","67,901","68,783","68,995","67,400","64,920","60,326","58,732","62,368","63,107","64,332","68,426","72,917","76,232","75,614","78,540","80,220","81,130","80,695","83,442","82,756","82,479","80,841","79,007","76,523","76,162","74,262","72,502","70,536","67,664","66,974","65,790","63,597","64,655","65,039","67,075","69,157","75,137","57,388","54,555","55,724","54,023","49,925","46,609","47,726","46,840","45,818","43,803","42,453","40,745","38,204","36,199","35,696","33,598","31,082","28,858","25,702","24,028","22,505","19,745","17,918","15,306","14,122","13,144","11,730","29,072",
2010,"5,262,200","59,347","59,477","59,345","57,049","55,702","55,429","54,400","52,713","52,562","54,494","55,911","58,136","59,303","61,321","61,030","61,601","63,276","64,414","70,003","72,532","70,359","70,371","72,374","70,576","70,043","69,509","67,047","68,278","69,056","69,011","67,530","65,245","60,599","59,243","62,899","63,483","64,708","68,824","73,386","76,514","75,763","78,685","80,330","81,219","80,737","83,506","82,743","82,506","80,779","78,922","76,368","76,062","74,125","72,298","70,251","67,348","66,727","65,530","63,310","64,355","64,646","66,607","68,677","74,588","56,796","53,910","54,992","53,229","49,129","45,723","46,767","45,812","44,700","42,597","41,216","39,459","36,823","34,723","34,157","31,938","29,244","27,067","23,986","22,249","20,590","17,944","16,044","13,591","12,402","11,500","32,430",
2011,"5,299,900","60,365","57,682","59,379","59,234","56,926","55,769","55,429","54,406","52,686","52,610","54,673","56,125","58,327","59,523","61,618","61,351","61,972","63,983","66,503","73,022","75,298","72,740","72,567","73,748","71,227","70,658","69,901","67,576","68,651","69,563","69,237","67,851","65,690","61,116","59,892","63,532","64,101","65,333","69,274","73,861","76,830","76,006","78,902","80,567","81,359","80,824","83,684","82,822","82,600","80,839","78,927","76,317","75,902","74,011","72,160","70,059","67,109","66,477","65,258","63,021","64,020","64,169","66,134","68,143","73,997","56,210","53,253","54,249","52,419","48,282","44,833","45,742","44,742","43,605","41,445","39,876","38,103","35,407","33,215","32,543","30,248","27,468","25,190","22,178","20,312","18,642","16,140","14,326","11,959","10,808","35,169",
2012,"5,313,600","58,547","60,583","57,801","59,525","59,334","57,021","55,870","55,485","54,447","52,774","52,634","54,791","56,177","58,352","59,624","61,661","61,429","62,137","64,411","69,298","75,078","76,241","73,355","73,142","73,521","70,927","70,455","69,893","67,498","68,559","69,543","69,174","67,793","65,521","60,906","59,878","63,545","64,117","65,226","69,223","73,720","76,712","75,830","78,793","80,416","81,161","80,555","83,530","82,628","82,392","80,554","78,783","76,036","75,658","73,676","71,825","69,693","66,809","66,094","64,875","62,651","63,456","63,592","65,483","67,441","73,171","55,455","52,391","53,321","51,407","47,287","43,866","44,578","43,531","42,281","40,055","38,525","36,532","33,870","31,617","30,892","28,438","25,624","23,306","20,367","18,499","16,737","14,321","12,460","10,305","36,905",
2013,"5,327,700","56,999","58,675","60,750","58,012","59,607","59,490","57,136","55,999","55,568","54,504","52,908","52,692","54,885","56,245","58,402","59,707","61,761","61,583","62,712","67,736","71,097","75,976","76,744","73,520","72,940","73,405","70,758","70,420","69,963","67,529","68,641","69,583","69,203","67,819","65,463","60,955","60,035","63,609","64,203","65,308","69,308","73,718","76,686","75,830","78,734","80,368","81,051","80,477","83,449","82,472","82,200","80,377","78,546","75,940","75,373","73,387","71,580","69,373","66,473","65,609","64,452","62,182","62,931","63,028","64,716","66,698","72,160","54,608","51,514","52,402","50,415","46,195","42,714","43,353","42,243","40,870","38,588","36,985","34,900","32,200","29,821","28,973","26,488","23,753","21,290","18,374","16,621","14,789","12,476","10,778","37,690",
